precinct_norm,offense_category,previous_28d,current_28d,change_28d,pct_change_28d,recent_movement,city_previous_28d,city_current_28d,city_change_28d,city_pct_change_28d,previous_28d_start,previous_28d_end,current_28d_start,current_28d_end,pct_change_vs_previous,trend_class,city_gap_28d,priority_score,priority_signal
02,FORGERY,0,3,3,,Increasing,6,9,3,50.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-50.0,Improving,,17.2,Monitor
05,BURGLARY,32,30,-2,-6.25,Decreasing,394,366,-28,-7.11,2026-07-01,2026-07-28,2026-07-29,2026-08-25,-5.829596412556054,Consistently Improving,0.8600000000000003,16.9,Monitor
06,HEALTH AND SAFETY,0,1,1,,Increasing,8,12,4,50.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,250.0,Consistently Worsening,,16.9,Monitor
07,KIDNAPPING,0,1,1,,Increasing,22,21,-1,-4.55,2026-07-01,2026-07-28,2026-07-29,2026-08-25,50.0,Worsening,,16.9,Monitor
11,MISCELLANEOUS,0,1,1,,Increasing,6,7,1,16.67,2026-07-01,2026-07-28,2026-07-29,2026-08-25,150.0,Worsening,,16.9,Monitor
06,EXTORTION,1,1,0,0.0,No Change,11,7,-4,-36.36,2026-07-01,2026-07-28,2026-07-29,2026-08-25,12.5,Consistently Worsening,36.36,16.8,Monitor
12,INVASION OF PRIVACY -OTHER,3,3,0,0.0,No Change,42,57,15,35.71,2026-07-01,2026-07-28,2026-07-29,2026-08-25,850.0,Worsening,-35.71,16.7,Monitor
12,RUNAWAY,12,12,0,0.0,No Change,105,113,8,7.62,2026-07-01,2026-07-28,2026-07-29,2026-08-25,19.718309859154928,Consistently Worsening,-7.62,16.4,Monitor
08,SEX OFFENSES,8,4,-4,-50.0,Decreasing,82,58,-24,-29.27,2026-07-01,2026-07-28,2026-07-29,2026-08-25,42.857142857142854,Consistently Worsening,-20.73,16.4,Monitor
03,EXTORTION,3,2,-1,-33.33,Decreasing,11,7,-4,-36.36,2026-07-01,2026-07-28,2026-07-29,2026-08-25,220.0,Worsening,3.030000000000001,16.2,Monitor
03,FAMILY OFFENSE,7,5,-2,-28.57,Decreasing,78,68,-10,-12.82,2026-07-01,2026-07-28,2026-07-29,2026-08-25,35.8974358974359,Consistently Worsening,-15.75,15.9,Monitor
09,OUIL,8,8,0,0.0,No Change,66,66,0,0.0,2026-07-01,2026-07-28,2026-07-29,2026-08-25,25.0,Consistently Worsening,0.0,15.7,Monitor
12,OBSTRUCTING JUDICIARY,8,5,-3,-37.5,Decreasing,94,87,-7,-7.45,2026-07-01,2026-07-28,2026-07-29,2026-08-25,35.18518518518518,Worsening,-30.05,15.7,Monitor
09,OBSTRUCTING JUDICIARY,12,8,-4,-33.33,Decreasing,94,87,-7,-7.45,2026-07-01,2026-07-28,2026-07-29,2026-08-25,24.615384615384617,Worsening,-25.88,15.6,Monitor
