period,precinct_norm,selection_type,selection_name,weekday,time_block,incident_count,neighborhood_scope
YTD,ALL,Crime Type,BURGLARY,Friday,18:00-23:59,139,ALL
YTD,ALL,Crime Type,BURGLARY,Monday,00:00-05:59,114,ALL
YTD,ALL,Crime Type,BURGLARY,Monday,06:00-11:59,112,ALL
YTD,ALL,Crime Type,BURGLARY,Monday,12:00-17:59,159,ALL
YTD,ALL,Crime Type,BURGLARY,Monday,18:00-23:59,113,ALL
YTD,ALL,Crime Type,BURGLARY,Saturday,00:00-05:59,107,ALL
YTD,ALL,Crime Type,BURGLARY,Saturday,06:00-11:59,96,ALL
YTD,ALL,Crime Type,BURGLARY,Saturday,12:00-17:59,153,ALL
YTD,ALL,Crime Type,BURGLARY,Saturday,18:00-23:59,114,ALL
YTD,ALL,Crime Type,BURGLARY,Sunday,00:00-05:59,101,ALL
YTD,ALL,Crime Type,BURGLARY,Sunday,06:00-11:59,103,ALL
YTD,ALL,Crime Type,BURGLARY,Sunday,12:00-17:59,154,ALL
YTD,ALL,Crime Type,BURGLARY,Sunday,18:00-23:59,109,ALL
YTD,ALL,Crime Type,BURGLARY,Thursday,00:00-05:59,90,ALL
YTD,ALL,Crime Type,BURGLARY,Thursday,06:00-11:59,120,ALL
YTD,ALL,Crime Type,BURGLARY,Thursday,12:00-17:59,154,ALL
YTD,ALL,Crime Type,BURGLARY,Thursday,18:00-23:59,123,ALL
YTD,ALL,Crime Type,BURGLARY,Tuesday,00:00-05:59,123,ALL
YTD,ALL,Crime Type,BURGLARY,Tuesday,06:00-11:59,106,ALL
YTD,ALL,Crime Type,BURGLARY,Tuesday,12:00-17:59,177,ALL
YTD,ALL,Crime Type,BURGLARY,Tuesday,18:00-23:59,129,ALL
YTD,ALL,Crime Type,BURGLARY,Wednesday,00:00-05:59,98,ALL
YTD,ALL,Crime Type,BURGLARY,Wednesday,06:00-11:59,107,ALL
YTD,ALL,Crime Type,BURGLARY,Wednesday,12:00-17:59,178,ALL
YTD,ALL,Crime Type,BURGLARY,Wednesday,18:00-23:59,110,ALL
