period,precinct_norm,selection_type,selection_name,total_incidents,peak_day,peak_day_count,peak_hour,peak_hour_count,peak_shift,peak_shift_count,peak_time_block,peak_time_block_count,period_start,period_end
YTD,03,Crime Type,ARSON,18,Friday,4,1,3,Night Shift (22:00-05:59),11,00:00-05:59,10,2025-01-01,2026-01-01
YTD,03,Crime Type,ASSAULT,1885,Sunday,341,21,110,Evening Shift (14:00-21:59),710,18:00-23:59,583,2025-01-01,2026-01-01
YTD,03,Crime Type,BURGLARY,355,Friday,63,17,26,Evening Shift (14:00-21:59),132,12:00-17:59,120,2025-01-01,2026-01-01
YTD,03,Crime Type,DAMAGE TO PROPERTY,1448,Saturday,257,22,99,Evening Shift (14:00-21:59),565,18:00-23:59,474,2025-01-01,2026-01-01
YTD,03,Crime Type,DANGEROUS DRUGS,77,Thursday,17,0,10,Evening Shift (14:00-21:59),29,18:00-23:59,22,2025-01-01,2026-01-01
YTD,03,Crime Type,DISORDERLY CONDUCT,106,Sunday,29,1,10,Evening Shift (14:00-21:59),49,18:00-23:59,40,2025-01-01,2026-01-01
YTD,03,Crime Type,EXTORTION,8,Wednesday,2,19,2,Evening Shift (14:00-21:59),4,12:00-17:59,4,2025-01-01,2026-01-01
YTD,03,Crime Type,FAMILY OFFENSE,53,Friday,12,18,6,Evening Shift (14:00-21:59),32,12:00-17:59,19,2025-01-01,2026-01-01
YTD,03,Crime Type,FORGERY,18,Thursday,4,14,4,Evening Shift (14:00-21:59),12,12:00-17:59,10,2025-01-01,2026-01-01
YTD,03,Crime Type,FRAUD,1017,Friday,173,12,119,Evening Shift (14:00-21:59),433,12:00-17:59,492,2025-01-01,2026-01-01
YTD,03,Crime Type,HEALTH AND SAFETY,10,Tuesday,3,0,3,Night Shift (22:00-05:59),4,00:00-05:59,4,2025-01-01,2026-01-01
YTD,03,Crime Type,HOMICIDE,11,Sunday,2,0,3,Night Shift (22:00-05:59),5,00:00-05:59,4,2025-01-01,2026-01-01
YTD,03,Crime Type,INVASION OF PRIVACY -OTHER,80,Tuesday,15,17,7,Evening Shift (14:00-21:59),28,18:00-23:59,23,2025-01-01,2026-01-01
YTD,03,Crime Type,JUSTIFIABLE HOMICIDE,1,Wednesday,1,0,1,Night Shift (22:00-05:59),1,00:00-05:59,1,2025-01-01,2026-01-01
YTD,03,Crime Type,KIDNAPPING,11,Saturday,3,11,2,Day Shift (06:00-13:59),5,12:00-17:59,4,2025-01-01,2026-01-01
YTD,03,Crime Type,LARCENY,2458,Sunday,411,0,153,Evening Shift (14:00-21:59),1074,18:00-23:59,811,2025-01-01,2026-01-01
YTD,03,Crime Type,LIQUOR,10,Saturday,6,22,2,Night Shift (22:00-05:59),7,00:00-05:59,5,2025-01-01,2026-01-01
YTD,03,Crime Type,MISCELLANEOUS,18,Wednesday,6,13,2,Day Shift (06:00-13:59),10,12:00-17:59,6,2025-01-01,2026-01-01
YTD,03,Crime Type,OBSTRUCTING JUDICIARY,72,Sunday,16,18,7,Evening Shift (14:00-21:59),36,12:00-17:59,27,2025-01-01,2026-01-01
YTD,03,Crime Type,OBSTRUCTING THE POLICE,220,Saturday,40,23,22,Night Shift (22:00-05:59),99,18:00-23:59,81,2025-01-01,2026-01-01
YTD,03,Crime Type,OTHER,111,Tuesday,20,0,18,Night Shift (22:00-05:59),45,00:00-05:59,35,2025-01-01,2026-01-01
YTD,03,Crime Type,OUIL,150,Saturday,32,19,14,Evening Shift (14:00-21:59),66,18:00-23:59,58,2025-01-01,2026-01-01
YTD,03,Crime Type,ROBBERY,166,Saturday,37,23,18,Night Shift (22:00-05:59),82,18:00-23:59,58,2025-01-01,2026-01-01
YTD,03,Crime Type,RUNAWAY,28,Thursday,9,19,4,Evening Shift (14:00-21:59),14,18:00-23:59,12,2025-01-01,2026-01-01
YTD,03,Crime Type,SEX OFFENSES,97,Friday,17,12,9,Evening Shift (14:00-21:59),46,18:00-23:59,32,2025-01-01,2026-01-01
YTD,03,Crime Type,SEXUAL ASSAULT,51,Friday,12,0,9,Night Shift (22:00-05:59),25,00:00-05:59,18,2025-01-01,2026-01-01
YTD,03,Crime Type,SOLICITATION,1,Thursday,1,15,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2025-01-01,2026-01-01
YTD,03,Crime Type,STOLEN PROPERTY,100,Sunday,20,12,10,Day Shift (06:00-13:59),37,12:00-17:59,36,2025-01-01,2026-01-01
YTD,03,Crime Type,STOLEN VEHICLE,735,Saturday,138,22,68,Evening Shift (14:00-21:59),336,18:00-23:59,335,2025-01-01,2026-01-01
YTD,03,Crime Type,WEAPONS OFFENSES,188,Sunday,36,0,17,Night Shift (22:00-05:59),88,18:00-23:59,67,2025-01-01,2026-01-01
YTD,03,Category Focus,Gun-Related,169,Sunday,33,20,17,Night Shift (22:00-05:59),80,18:00-23:59,60,2025-01-01,2026-01-01
YTD,03,Category Focus,Property Crime,5096,Saturday,861,22,310,Evening Shift (14:00-21:59),2142,18:00-23:59,1717,2025-01-01,2026-01-01
YTD,03,Category Focus,Larceny,2458,Sunday,411,0,153,Evening Shift (14:00-21:59),1074,18:00-23:59,811,2025-01-01,2026-01-01
YTD,04,All,All,4313,Monday,660,12,264,Evening Shift (14:00-21:59),1812,12:00-17:59,1363,2025-01-01,2026-01-01
YTD,04,Crime Type,AGGRAVATED ASSAULT,355,Sunday,62,0,33,Evening Shift (14:00-21:59),143,18:00-23:59,117,2025-01-01,2026-01-01
YTD,04,Crime Type,ARSON,24,Sunday,5,18,3,Night Shift (22:00-05:59),13,00:00-05:59,11,2025-01-01,2026-01-01
YTD,04,Crime Type,ASSAULT,928,Sunday,167,17,57,Evening Shift (14:00-21:59),385,18:00-23:59,279,2025-01-01,2026-01-01
YTD,04,Crime Type,BURGLARY,204,Monday,34,14,14,Evening Shift (14:00-21:59),74,12:00-17:59,66,2025-01-01,2026-01-01
YTD,04,Crime Type,DAMAGE TO PROPERTY,454,Monday,77,18,27,Evening Shift (14:00-21:59),176,18:00-23:59,132,2025-01-01,2026-01-01
YTD,04,Crime Type,DANGEROUS DRUGS,131,Tuesday,25,16,16,Evening Shift (14:00-21:59),64,12:00-17:59,58,2025-01-01,2026-01-01
YTD,04,Crime Type,DISORDERLY CONDUCT,16,Sunday,4,0,3,Night Shift (22:00-05:59),7,00:00-05:59,7,2025-01-01,2026-01-01
YTD,04,Crime Type,EXTORTION,14,Sunday,4,15,2,Evening Shift (14:00-21:59),6,12:00-17:59,6,2025-01-01,2026-01-01
YTD,04,Crime Type,FAMILY OFFENSE,50,Sunday,10,22,7,Evening Shift (14:00-21:59),23,12:00-17:59,19,2025-01-01,2026-01-01
YTD,04,Crime Type,FORGERY,12,Monday,3,12,4,Day Shift (06:00-13:59),7,12:00-17:59,8,2025-01-01,2026-01-01
YTD,04,Crime Type,FRAUD,452,Friday,78,12,64,Evening Shift (14:00-21:59),214,12:00-17:59,221,2025-01-01,2026-01-01
YTD,04,Crime Type,HEALTH AND SAFETY,4,Friday,1,15,1,Evening Shift (14:00-21:59),4,12:00-17:59,4,2025-01-01,2026-01-01
YTD,04,Crime Type,HOMICIDE,8,Friday,3,10,3,Day Shift (06:00-13:59),4,12:00-17:59,4,2025-01-01,2026-01-01
YTD,04,Crime Type,INVASION OF PRIVACY -OTHER,4,Saturday,1,12,1,Night Shift (22:00-05:59),3,00:00-05:59,3,2025-01-01,2026-01-01
YTD,04,Crime Type,KIDNAPPING,19,Monday,4,20,3,Evening Shift (14:00-21:59),9,18:00-23:59,6,2025-01-01,2026-01-01
YTD,04,Crime Type,LARCENY,620,Monday,99,12,52,Evening Shift (14:00-21:59),255,12:00-17:59,212,2025-01-01,2026-01-01
YTD,04,Crime Type,LIQUOR,6,Tuesday,2,21,3,Evening Shift (14:00-21:59),5,18:00-23:59,5,2025-01-01,2026-01-01
YTD,04,Crime Type,MISCELLANEOUS,7,Friday,3,13,2,Day Shift (06:00-13:59),3,12:00-17:59,3,2025-01-01,2026-01-01
YTD,04,Crime Type,OBSTRUCTING JUDICIARY,64,Wednesday,13,15,8,Evening Shift (14:00-21:59),34,12:00-17:59,33,2025-01-01,2026-01-01
YTD,04,Crime Type,OBSTRUCTING THE POLICE,116,Saturday,24,21,15,Evening Shift (14:00-21:59),60,18:00-23:59,51,2025-01-01,2026-01-01
YTD,04,Crime Type,OTHER,20,Thursday,6,18,5,Evening Shift (14:00-21:59),14,18:00-23:59,11,2025-01-01,2026-01-01
YTD,04,Crime Type,OUIL,20,Saturday,12,16,4,Evening Shift (14:00-21:59),12,12:00-17:59,8,2025-01-01,2026-01-01
YTD,04,Crime Type,ROBBERY,68,Monday,18,21,9,Evening Shift (14:00-21:59),32,18:00-23:59,26,2025-01-01,2026-01-01
YTD,04,Crime Type,RUNAWAY,39,Sunday,8,23,5,Evening Shift (14:00-21:59),19,12:00-17:59,16,2025-01-01,2026-01-01
YTD,04,Crime Type,SEX OFFENSES,53,Friday,20,22,7,Evening Shift (14:00-21:59),33,18:00-23:59,26,2025-01-01,2026-01-01
YTD,04,Crime Type,SEXUAL ASSAULT,24,Saturday,6,8,5,Day Shift (06:00-13:59),10,06:00-11:59,8,2025-01-01,2026-01-01
YTD,04,Crime Type,STOLEN PROPERTY,111,Wednesday,26,12,12,Day Shift (06:00-13:59),47,12:00-17:59,51,2025-01-01,2026-01-01
YTD,04,Crime Type,STOLEN VEHICLE,343,Tuesday,55,22,45,Night Shift (22:00-05:59),154,18:00-23:59,153,2025-01-01,2026-01-01
YTD,04,Crime Type,WEAPONS OFFENSES,147,Friday,28,0,19,Night Shift (22:00-05:59),74,18:00-23:59,72,2025-01-01,2026-01-01
YTD,04,Category Focus,Gun-Related,132,Wednesday,26,22,17,Night Shift (22:00-05:59),65,18:00-23:59,68,2025-01-01,2026-01-01
YTD,04,Category Focus,Property Crime,1732,Monday,269,12,115,Evening Shift (14:00-21:59),669,12:00-17:59,513,2025-01-01,2026-01-01
YTD,04,Category Focus,Larceny,620,Monday,99,12,52,Evening Shift (14:00-21:59),255,12:00-17:59,212,2025-01-01,2026-01-01
YTD,05,All,All,6189,Wednesday,983,12,378,Evening Shift (14:00-21:59),2518,12:00-17:59,1957,2025-01-01,2026-01-01
YTD,05,Crime Type,AGGRAVATED ASSAULT,584,Wednesday,104,22,42,Evening Shift (14:00-21:59),250,18:00-23:59,204,2025-01-01,2026-01-01
YTD,05,Crime Type,ARSON,43,Saturday,10,5,5,Night Shift (22:00-05:59),26,00:00-05:59,20,2025-01-01,2026-01-01
YTD,05,Crime Type,ASSAULT,1172,Friday,187,16,76,Evening Shift (14:00-21:59),505,12:00-17:59,391,2025-01-01,2026-01-01
YTD,05,Crime Type,BURGLARY,368,Friday,61,12,32,Day Shift (06:00-13:59),151,12:00-17:59,129,2025-01-01,2026-01-01
YTD,05,Crime Type,DAMAGE TO PROPERTY,805,Wednesday,125,20,48,Evening Shift (14:00-21:59),303,18:00-23:59,252,2025-01-01,2026-01-01
YTD,05,Crime Type,DANGEROUS DRUGS,51,Thursday,12,17,5,Evening Shift (14:00-21:59),23,12:00-17:59,20,2025-01-01,2026-01-01
YTD,05,Crime Type,DISORDERLY CONDUCT,10,Monday,3,0,1,Day Shift (06:00-13:59),5,12:00-17:59,3,2025-01-01,2026-01-01
YTD,05,Crime Type,EXTORTION,7,Monday,2,21,2,Evening Shift (14:00-21:59),4,18:00-23:59,3,2025-01-01,2026-01-01
YTD,05,Crime Type,FAMILY OFFENSE,68,Saturday,14,10,7,Day Shift (06:00-13:59),33,12:00-17:59,23,2025-01-01,2026-01-01
YTD,05,Crime Type,FORGERY,5,Friday,2,12,2,Day Shift (06:00-13:59),4,12:00-17:59,3,2025-01-01,2026-01-01
YTD,05,Crime Type,FRAUD,679,Thursday,107,12,74,Day Shift (06:00-13:59),317,12:00-17:59,280,2025-01-01,2026-01-01
YTD,05,Crime Type,HEALTH AND SAFETY,3,Tuesday,2,15,2,Evening Shift (14:00-21:59),3,12:00-17:59,3,2025-01-01,2026-01-01
YTD,05,Crime Type,HOMICIDE,14,Friday,4,1,2,Night Shift (22:00-05:59),6,00:00-05:59,5,2025-01-01,2026-01-01
YTD,05,Crime Type,INVASION OF PRIVACY -OTHER,12,Tuesday,3,15,3,Evening Shift (14:00-21:59),6,12:00-17:59,6,2025-01-01,2026-01-01
YTD,05,Crime Type,JUSTIFIABLE HOMICIDE,4,Friday,1,21,1,Night Shift (22:00-05:59),2,00:00-05:59,2,2025-01-01,2026-01-01
YTD,05,Crime Type,KIDNAPPING,16,Monday,4,23,3,Night Shift (22:00-05:59),6,18:00-23:59,6,2025-01-01,2026-01-01
YTD,05,Crime Type,LARCENY,804,Wednesday,129,12,77,Evening Shift (14:00-21:59),338,12:00-17:59,300,2025-01-01,2026-01-01
YTD,05,Crime Type,LIQUOR,2,Saturday,1,0,1,Night Shift (22:00-05:59),2,00:00-05:59,1,2025-01-01,2026-01-01
YTD,05,Crime Type,MISCELLANEOUS,10,Thursday,3,12,2,Night Shift (22:00-05:59),5,18:00-23:59,4,2025-01-01,2026-01-01
YTD,05,Crime Type,OBSTRUCTING JUDICIARY,56,Friday,13,10,7,Evening Shift (14:00-21:59),21,18:00-23:59,23,2025-01-01,2026-01-01
YTD,05,Crime Type,OBSTRUCTING THE POLICE,135,Wednesday,30,20,14,Evening Shift (14:00-21:59),56,18:00-23:59,49,2025-01-01,2026-01-01
YTD,05,Crime Type,OTHER,15,Friday,5,13,2,Evening Shift (14:00-21:59),6,12:00-17:59,5,2025-01-01,2026-01-01
YTD,05,Crime Type,OUIL,50,Monday,12,2,8,Night Shift (22:00-05:59),26,18:00-23:59,18,2025-01-01,2026-01-01
YTD,05,Crime Type,ROBBERY,77,Sunday,16,13,8,Evening Shift (14:00-21:59),32,12:00-17:59,28,2025-01-01,2026-01-01
YTD,05,Crime Type,RUNAWAY,183,Saturday,36,22,20,Evening Shift (14:00-21:59),90,18:00-23:59,79,2025-01-01,2026-01-01
YTD,05,Crime Type,SEX OFFENSES,43,Monday,9,10,6,Evening Shift (14:00-21:59),23,18:00-23:59,16,2025-01-01,2026-01-01
YTD,05,Crime Type,SEXUAL ASSAULT,49,Sunday,10,0,6,Night Shift (22:00-05:59),21,00:00-05:59,16,2025-01-01,2026-01-01
YTD,05,Crime Type,SOLICITATION,1,Thursday,1,14,1,Evening Shift (14:00-21:59),1,12:00-17:59,1,2025-01-01,2026-01-01
YTD,05,Crime Type,STOLEN PROPERTY,160,Wednesday,27,13,17,Day Shift (06:00-13:59),72,12:00-17:59,59,2025-01-01,2026-01-01
YTD,05,Crime Type,STOLEN VEHICLE,565,Friday,95,22,49,Night Shift (22:00-05:59),232,18:00-23:59,235,2025-01-01,2026-01-01
YTD,05,Crime Type,WEAPONS OFFENSES,198,Friday,37,23,23,Evening Shift (14:00-21:59),92,18:00-23:59,89,2025-01-01,2026-01-01
