period,precinct_norm,selection_type,selection_name,weekday,time_block,incident_count
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Wednesday,00:00-05:59,274
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Wednesday,06:00-11:59,171
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Wednesday,12:00-17:59,282
YTD,ALL,Crime Type,AGGRAVATED ASSAULT,Wednesday,18:00-23:59,322
YTD,ALL,Crime Type,ARSON,Friday,00:00-05:59,32
YTD,ALL,Crime Type,ARSON,Friday,06:00-11:59,9
YTD,ALL,Crime Type,ARSON,Friday,12:00-17:59,5
YTD,ALL,Crime Type,ARSON,Friday,18:00-23:59,12
YTD,ALL,Crime Type,ARSON,Monday,00:00-05:59,32
YTD,ALL,Crime Type,ARSON,Monday,06:00-11:59,10
YTD,ALL,Crime Type,ARSON,Monday,12:00-17:59,17
YTD,ALL,Crime Type,ARSON,Monday,18:00-23:59,16
YTD,ALL,Crime Type,ARSON,Saturday,00:00-05:59,31
YTD,ALL,Crime Type,ARSON,Saturday,06:00-11:59,11
YTD,ALL,Crime Type,ARSON,Saturday,12:00-17:59,15
YTD,ALL,Crime Type,ARSON,Saturday,18:00-23:59,11
YTD,ALL,Crime Type,ARSON,Sunday,00:00-05:59,36
YTD,ALL,Crime Type,ARSON,Sunday,06:00-11:59,11
YTD,ALL,Crime Type,ARSON,Sunday,12:00-17:59,14
YTD,ALL,Crime Type,ARSON,Sunday,18:00-23:59,13
YTD,ALL,Crime Type,ARSON,Thursday,00:00-05:59,23
YTD,ALL,Crime Type,ARSON,Thursday,06:00-11:59,12
YTD,ALL,Crime Type,ARSON,Thursday,12:00-17:59,14
YTD,ALL,Crime Type,ARSON,Thursday,18:00-23:59,13
YTD,ALL,Crime Type,ARSON,Tuesday,00:00-05:59,28
YTD,ALL,Crime Type,ARSON,Tuesday,06:00-11:59,10
YTD,ALL,Crime Type,ARSON,Tuesday,12:00-17:59,13
YTD,ALL,Crime Type,ARSON,Tuesday,18:00-23:59,20
YTD,ALL,Crime Type,ARSON,Wednesday,00:00-05:59,33
YTD,ALL,Crime Type,ARSON,Wednesday,06:00-11:59,16
YTD,ALL,Crime Type,ARSON,Wednesday,12:00-17:59,10
YTD,ALL,Crime Type,ARSON,Wednesday,18:00-23:59,16
YTD,ALL,Crime Type,ASSAULT,Friday,00:00-05:59,451
YTD,ALL,Crime Type,ASSAULT,Friday,06:00-11:59,489
YTD,ALL,Crime Type,ASSAULT,Friday,12:00-17:59,748
YTD,ALL,Crime Type,ASSAULT,Friday,18:00-23:59,698
YTD,ALL,Crime Type,ASSAULT,Monday,00:00-05:59,463
YTD,ALL,Crime Type,ASSAULT,Monday,06:00-11:59,498
YTD,ALL,Crime Type,ASSAULT,Monday,12:00-17:59,713
YTD,ALL,Crime Type,ASSAULT,Monday,18:00-23:59,753
YTD,ALL,Crime Type,ASSAULT,Saturday,00:00-05:59,696
YTD,ALL,Crime Type,ASSAULT,Saturday,06:00-11:59,532
YTD,ALL,Crime Type,ASSAULT,Saturday,12:00-17:59,715
YTD,ALL,Crime Type,ASSAULT,Saturday,18:00-23:59,787
YTD,ALL,Crime Type,ASSAULT,Sunday,00:00-05:59,746
YTD,ALL,Crime Type,ASSAULT,Sunday,06:00-11:59,454
YTD,ALL,Crime Type,ASSAULT,Sunday,12:00-17:59,743
YTD,ALL,Crime Type,ASSAULT,Sunday,18:00-23:59,761
YTD,ALL,Crime Type,ASSAULT,Thursday,00:00-05:59,393
YTD,ALL,Crime Type,ASSAULT,Thursday,06:00-11:59,480
YTD,ALL,Crime Type,ASSAULT,Thursday,12:00-17:59,698
YTD,ALL,Crime Type,ASSAULT,Thursday,18:00-23:59,682
YTD,ALL,Crime Type,ASSAULT,Tuesday,00:00-05:59,420
YTD,ALL,Crime Type,ASSAULT,Tuesday,06:00-11:59,501
YTD,ALL,Crime Type,ASSAULT,Tuesday,12:00-17:59,757
YTD,ALL,Crime Type,ASSAULT,Tuesday,18:00-23:59,668
YTD,ALL,Crime Type,ASSAULT,Wednesday,00:00-05:59,463
YTD,ALL,Crime Type,ASSAULT,Wednesday,06:00-11:59,490
YTD,ALL,Crime Type,ASSAULT,Wednesday,12:00-17:59,770
YTD,ALL,Crime Type,ASSAULT,Wednesday,18:00-23:59,692
YTD,ALL,Crime Type,BURGLARY,Friday,00:00-05:59,138
YTD,ALL,Crime Type,BURGLARY,Friday,06:00-11:59,164
YTD,ALL,Crime Type,BURGLARY,Friday,12:00-17:59,271
YTD,ALL,Crime Type,BURGLARY,Friday,18:00-23:59,165
YTD,ALL,Crime Type,BURGLARY,Monday,00:00-05:59,163
YTD,ALL,Crime Type,BURGLARY,Monday,06:00-11:59,199
YTD,ALL,Crime Type,BURGLARY,Monday,12:00-17:59,276
YTD,ALL,Crime Type,BURGLARY,Monday,18:00-23:59,175
YTD,ALL,Crime Type,BURGLARY,Saturday,00:00-05:59,157
YTD,ALL,Crime Type,BURGLARY,Saturday,06:00-11:59,144
YTD,ALL,Crime Type,BURGLARY,Saturday,12:00-17:59,252
YTD,ALL,Crime Type,BURGLARY,Saturday,18:00-23:59,153
YTD,ALL,Crime Type,BURGLARY,Sunday,00:00-05:59,149
YTD,ALL,Crime Type,BURGLARY,Sunday,06:00-11:59,127
YTD,ALL,Crime Type,BURGLARY,Sunday,12:00-17:59,238
YTD,ALL,Crime Type,BURGLARY,Sunday,18:00-23:59,156
YTD,ALL,Crime Type,BURGLARY,Thursday,00:00-05:59,151
YTD,ALL,Crime Type,BURGLARY,Thursday,06:00-11:59,150
YTD,ALL,Crime Type,BURGLARY,Thursday,12:00-17:59,270
YTD,ALL,Crime Type,BURGLARY,Thursday,18:00-23:59,182
YTD,ALL,Crime Type,BURGLARY,Tuesday,00:00-05:59,154
YTD,ALL,Crime Type,BURGLARY,Tuesday,06:00-11:59,196
YTD,ALL,Crime Type,BURGLARY,Tuesday,12:00-17:59,271
YTD,ALL,Crime Type,BURGLARY,Tuesday,18:00-23:59,173
YTD,ALL,Crime Type,BURGLARY,Wednesday,00:00-05:59,155
YTD,ALL,Crime Type,BURGLARY,Wednesday,06:00-11:59,169
YTD,ALL,Crime Type,BURGLARY,Wednesday,12:00-17:59,254
YTD,ALL,Crime Type,BURGLARY,Wednesday,18:00-23:59,168
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Friday,00:00-05:59,347
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Friday,06:00-11:59,318
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Friday,12:00-17:59,386
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Friday,18:00-23:59,440
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Monday,00:00-05:59,350
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Monday,06:00-11:59,320
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Monday,12:00-17:59,435
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Monday,18:00-23:59,514
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Saturday,00:00-05:59,455
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Saturday,06:00-11:59,296
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Saturday,12:00-17:59,433
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Saturday,18:00-23:59,495
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Sunday,00:00-05:59,536
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Sunday,06:00-11:59,264
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Sunday,12:00-17:59,383
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Sunday,18:00-23:59,527
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Thursday,00:00-05:59,308
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Thursday,06:00-11:59,268
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Thursday,12:00-17:59,378
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Thursday,18:00-23:59,440
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Tuesday,00:00-05:59,311
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Tuesday,06:00-11:59,308
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Tuesday,12:00-17:59,439
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Tuesday,18:00-23:59,435
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Wednesday,00:00-05:59,346
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Wednesday,06:00-11:59,325
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Wednesday,12:00-17:59,406
YTD,ALL,Crime Type,DAMAGE TO PROPERTY,Wednesday,18:00-23:59,463
YTD,ALL,Crime Type,DANGEROUS DRUGS,Friday,00:00-05:59,18
YTD,ALL,Crime Type,DANGEROUS DRUGS,Friday,06:00-11:59,14
YTD,ALL,Crime Type,DANGEROUS DRUGS,Friday,12:00-17:59,45
YTD,ALL,Crime Type,DANGEROUS DRUGS,Friday,18:00-23:59,49
YTD,ALL,Crime Type,DANGEROUS DRUGS,Monday,00:00-05:59,19
YTD,ALL,Crime Type,DANGEROUS DRUGS,Monday,06:00-11:59,12
YTD,ALL,Crime Type,DANGEROUS DRUGS,Monday,12:00-17:59,46
YTD,ALL,Crime Type,DANGEROUS DRUGS,Monday,18:00-23:59,35
YTD,ALL,Crime Type,DANGEROUS DRUGS,Saturday,00:00-05:59,23
YTD,ALL,Crime Type,DANGEROUS DRUGS,Saturday,06:00-11:59,16
YTD,ALL,Crime Type,DANGEROUS DRUGS,Saturday,12:00-17:59,26
YTD,ALL,Crime Type,DANGEROUS DRUGS,Saturday,18:00-23:59,44
YTD,ALL,Crime Type,DANGEROUS DRUGS,Sunday,00:00-05:59,16
YTD,ALL,Crime Type,DANGEROUS DRUGS,Sunday,06:00-11:59,12
YTD,ALL,Crime Type,DANGEROUS DRUGS,Sunday,12:00-17:59,17
YTD,ALL,Crime Type,DANGEROUS DRUGS,Sunday,18:00-23:59,42
YTD,ALL,Crime Type,DANGEROUS DRUGS,Thursday,00:00-05:59,21
YTD,ALL,Crime Type,DANGEROUS DRUGS,Thursday,06:00-11:59,27
YTD,ALL,Crime Type,DANGEROUS DRUGS,Thursday,12:00-17:59,96
YTD,ALL,Crime Type,DANGEROUS DRUGS,Thursday,18:00-23:59,56
YTD,ALL,Crime Type,DANGEROUS DRUGS,Tuesday,00:00-05:59,27
YTD,ALL,Crime Type,DANGEROUS DRUGS,Tuesday,06:00-11:59,23
YTD,ALL,Crime Type,DANGEROUS DRUGS,Tuesday,12:00-17:59,115
YTD,ALL,Crime Type,DANGEROUS DRUGS,Tuesday,18:00-23:59,28
YTD,ALL,Crime Type,DANGEROUS DRUGS,Wednesday,00:00-05:59,24
YTD,ALL,Crime Type,DANGEROUS DRUGS,Wednesday,06:00-11:59,12
YTD,ALL,Crime Type,DANGEROUS DRUGS,Wednesday,12:00-17:59,123
YTD,ALL,Crime Type,DANGEROUS DRUGS,Wednesday,18:00-23:59,44
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Friday,00:00-05:59,15
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Friday,06:00-11:59,4
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Friday,12:00-17:59,8
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Friday,18:00-23:59,12
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Monday,00:00-05:59,7
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Monday,06:00-11:59,6
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Monday,12:00-17:59,13
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Monday,18:00-23:59,12
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Saturday,00:00-05:59,20
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Saturday,06:00-11:59,6
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Saturday,12:00-17:59,9
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Saturday,18:00-23:59,12
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Sunday,00:00-05:59,32
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Sunday,06:00-11:59,4
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Sunday,12:00-17:59,10
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Sunday,18:00-23:59,20
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Thursday,00:00-05:59,8
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Thursday,06:00-11:59,5
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Thursday,12:00-17:59,9
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Thursday,18:00-23:59,10
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Tuesday,00:00-05:59,6
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Tuesday,06:00-11:59,5
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Tuesday,12:00-17:59,8
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Tuesday,18:00-23:59,17
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Wednesday,00:00-05:59,14
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Wednesday,06:00-11:59,10
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Wednesday,12:00-17:59,13
YTD,ALL,Crime Type,DISORDERLY CONDUCT,Wednesday,18:00-23:59,11
YTD,ALL,Crime Type,EXTORTION,Friday,00:00-05:59,2
YTD,ALL,Crime Type,EXTORTION,Friday,06:00-11:59,2
YTD,ALL,Crime Type,EXTORTION,Friday,12:00-17:59,5
YTD,ALL,Crime Type,EXTORTION,Friday,18:00-23:59,3
YTD,ALL,Crime Type,EXTORTION,Monday,06:00-11:59,4
YTD,ALL,Crime Type,EXTORTION,Monday,12:00-17:59,4
YTD,ALL,Crime Type,EXTORTION,Monday,18:00-23:59,6
YTD,ALL,Crime Type,EXTORTION,Saturday,00:00-05:59,3
YTD,ALL,Crime Type,EXTORTION,Saturday,06:00-11:59,2
YTD,ALL,Crime Type,EXTORTION,Saturday,12:00-17:59,3
YTD,ALL,Crime Type,EXTORTION,Saturday,18:00-23:59,3
YTD,ALL,Crime Type,EXTORTION,Sunday,00:00-05:59,3
YTD,ALL,Crime Type,EXTORTION,Sunday,06:00-11:59,4
YTD,ALL,Crime Type,EXTORTION,Sunday,12:00-17:59,5
YTD,ALL,Crime Type,EXTORTION,Sunday,18:00-23:59,5
YTD,ALL,Crime Type,EXTORTION,Thursday,00:00-05:59,1
YTD,ALL,Crime Type,EXTORTION,Thursday,06:00-11:59,1
YTD,ALL,Crime Type,EXTORTION,Thursday,12:00-17:59,5
YTD,ALL,Crime Type,EXTORTION,Thursday,18:00-23:59,4
YTD,ALL,Crime Type,EXTORTION,Tuesday,00:00-05:59,2
YTD,ALL,Crime Type,EXTORTION,Tuesday,06:00-11:59,3
YTD,ALL,Crime Type,EXTORTION,Tuesday,12:00-17:59,6
YTD,ALL,Crime Type,EXTORTION,Tuesday,18:00-23:59,9
YTD,ALL,Crime Type,EXTORTION,Wednesday,00:00-05:59,2
YTD,ALL,Crime Type,EXTORTION,Wednesday,06:00-11:59,3
YTD,ALL,Crime Type,EXTORTION,Wednesday,12:00-17:59,9
YTD,ALL,Crime Type,EXTORTION,Wednesday,18:00-23:59,6
YTD,ALL,Crime Type,FAMILY OFFENSE,Friday,00:00-05:59,19
YTD,ALL,Crime Type,FAMILY OFFENSE,Friday,06:00-11:59,33
YTD,ALL,Crime Type,FAMILY OFFENSE,Friday,12:00-17:59,55
YTD,ALL,Crime Type,FAMILY OFFENSE,Friday,18:00-23:59,38
YTD,ALL,Crime Type,FAMILY OFFENSE,Monday,00:00-05:59,20
YTD,ALL,Crime Type,FAMILY OFFENSE,Monday,06:00-11:59,35
YTD,ALL,Crime Type,FAMILY OFFENSE,Monday,12:00-17:59,62
YTD,ALL,Crime Type,FAMILY OFFENSE,Monday,18:00-23:59,35
YTD,ALL,Crime Type,FAMILY OFFENSE,Saturday,00:00-05:59,17
YTD,ALL,Crime Type,FAMILY OFFENSE,Saturday,06:00-11:59,34
YTD,ALL,Crime Type,FAMILY OFFENSE,Saturday,12:00-17:59,36
YTD,ALL,Crime Type,FAMILY OFFENSE,Saturday,18:00-23:59,39
YTD,ALL,Crime Type,FAMILY OFFENSE,Sunday,00:00-05:59,22
YTD,ALL,Crime Type,FAMILY OFFENSE,Sunday,06:00-11:59,22
YTD,ALL,Crime Type,FAMILY OFFENSE,Sunday,12:00-17:59,40
YTD,ALL,Crime Type,FAMILY OFFENSE,Sunday,18:00-23:59,32
YTD,ALL,Crime Type,FAMILY OFFENSE,Thursday,00:00-05:59,10
YTD,ALL,Crime Type,FAMILY OFFENSE,Thursday,06:00-11:59,27
YTD,ALL,Crime Type,FAMILY OFFENSE,Thursday,12:00-17:59,58
YTD,ALL,Crime Type,FAMILY OFFENSE,Thursday,18:00-23:59,41
YTD,ALL,Crime Type,FAMILY OFFENSE,Tuesday,00:00-05:59,21
YTD,ALL,Crime Type,FAMILY OFFENSE,Tuesday,06:00-11:59,25
YTD,ALL,Crime Type,FAMILY OFFENSE,Tuesday,12:00-17:59,43
YTD,ALL,Crime Type,FAMILY OFFENSE,Tuesday,18:00-23:59,30
YTD,ALL,Crime Type,FAMILY OFFENSE,Wednesday,00:00-05:59,12
YTD,ALL,Crime Type,FAMILY OFFENSE,Wednesday,06:00-11:59,27
YTD,ALL,Crime Type,FAMILY OFFENSE,Wednesday,12:00-17:59,48
YTD,ALL,Crime Type,FAMILY OFFENSE,Wednesday,18:00-23:59,36
YTD,ALL,Crime Type,FORGERY,Friday,00:00-05:59,2
YTD,ALL,Crime Type,FORGERY,Friday,06:00-11:59,1
YTD,ALL,Crime Type,FORGERY,Friday,12:00-17:59,15
YTD,ALL,Crime Type,FORGERY,Friday,18:00-23:59,5
YTD,ALL,Crime Type,FORGERY,Monday,00:00-05:59,3
YTD,ALL,Crime Type,FORGERY,Monday,06:00-11:59,5
YTD,ALL,Crime Type,FORGERY,Monday,12:00-17:59,14
YTD,ALL,Crime Type,FORGERY,Monday,18:00-23:59,5
YTD,ALL,Crime Type,FORGERY,Saturday,00:00-05:59,1
YTD,ALL,Crime Type,FORGERY,Saturday,06:00-11:59,3
YTD,ALL,Crime Type,FORGERY,Saturday,12:00-17:59,8
YTD,ALL,Crime Type,FORGERY,Saturday,18:00-23:59,6
YTD,ALL,Crime Type,FORGERY,Sunday,00:00-05:59,2
YTD,ALL,Crime Type,FORGERY,Sunday,06:00-11:59,4
YTD,ALL,Crime Type,FORGERY,Sunday,12:00-17:59,3
YTD,ALL,Crime Type,FORGERY,Sunday,18:00-23:59,9
YTD,ALL,Crime Type,FORGERY,Thursday,00:00-05:59,3
YTD,ALL,Crime Type,FORGERY,Thursday,06:00-11:59,9
YTD,ALL,Crime Type,FORGERY,Thursday,12:00-17:59,11
YTD,ALL,Crime Type,FORGERY,Thursday,18:00-23:59,5
YTD,ALL,Crime Type,FORGERY,Tuesday,00:00-05:59,1
YTD,ALL,Crime Type,FORGERY,Tuesday,06:00-11:59,5
YTD,ALL,Crime Type,FORGERY,Tuesday,12:00-17:59,10
YTD,ALL,Crime Type,FORGERY,Wednesday,00:00-05:59,1
YTD,ALL,Crime Type,FORGERY,Wednesday,06:00-11:59,4
YTD,ALL,Crime Type,FORGERY,Wednesday,12:00-17:59,8
YTD,ALL,Crime Type,FORGERY,Wednesday,18:00-23:59,8
YTD,ALL,Crime Type,FRAUD,Friday,00:00-05:59,123
YTD,ALL,Crime Type,FRAUD,Friday,06:00-11:59,306
YTD,ALL,Crime Type,FRAUD,Friday,12:00-17:59,574
YTD,ALL,Crime Type,FRAUD,Friday,18:00-23:59,212
YTD,ALL,Crime Type,FRAUD,Monday,00:00-05:59,131
YTD,ALL,Crime Type,FRAUD,Monday,06:00-11:59,266
YTD,ALL,Crime Type,FRAUD,Monday,12:00-17:59,505
YTD,ALL,Crime Type,FRAUD,Monday,18:00-23:59,180
YTD,ALL,Crime Type,FRAUD,Saturday,00:00-05:59,120
YTD,ALL,Crime Type,FRAUD,Saturday,06:00-11:59,193
YTD,ALL,Crime Type,FRAUD,Saturday,12:00-17:59,412
YTD,ALL,Crime Type,FRAUD,Saturday,18:00-23:59,197
YTD,ALL,Crime Type,FRAUD,Sunday,00:00-05:59,94
YTD,ALL,Crime Type,FRAUD,Sunday,06:00-11:59,200
YTD,ALL,Crime Type,FRAUD,Sunday,12:00-17:59,371
YTD,ALL,Crime Type,FRAUD,Sunday,18:00-23:59,198
YTD,ALL,Crime Type,FRAUD,Thursday,00:00-05:59,143
YTD,ALL,Crime Type,FRAUD,Thursday,06:00-11:59,283
YTD,ALL,Crime Type,FRAUD,Thursday,12:00-17:59,457
YTD,ALL,Crime Type,FRAUD,Thursday,18:00-23:59,199
YTD,ALL,Crime Type,FRAUD,Tuesday,00:00-05:59,121
YTD,ALL,Crime Type,FRAUD,Tuesday,06:00-11:59,267
YTD,ALL,Crime Type,FRAUD,Tuesday,12:00-17:59,515
YTD,ALL,Crime Type,FRAUD,Tuesday,18:00-23:59,206
YTD,ALL,Crime Type,FRAUD,Wednesday,00:00-05:59,119
YTD,ALL,Crime Type,FRAUD,Wednesday,06:00-11:59,269
YTD,ALL,Crime Type,FRAUD,Wednesday,12:00-17:59,587
YTD,ALL,Crime Type,FRAUD,Wednesday,18:00-23:59,200
YTD,ALL,Crime Type,GAMBLING,Thursday,12:00-17:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Friday,00:00-05:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Friday,06:00-11:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Friday,12:00-17:59,2
YTD,ALL,Crime Type,HEALTH AND SAFETY,Friday,18:00-23:59,11
YTD,ALL,Crime Type,HEALTH AND SAFETY,Monday,00:00-05:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Monday,12:00-17:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Monday,18:00-23:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Saturday,00:00-05:59,5
YTD,ALL,Crime Type,HEALTH AND SAFETY,Saturday,18:00-23:59,2
YTD,ALL,Crime Type,HEALTH AND SAFETY,Sunday,00:00-05:59,9
YTD,ALL,Crime Type,HEALTH AND SAFETY,Sunday,12:00-17:59,3
YTD,ALL,Crime Type,HEALTH AND SAFETY,Sunday,18:00-23:59,7
YTD,ALL,Crime Type,HEALTH AND SAFETY,Thursday,00:00-05:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Thursday,06:00-11:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Thursday,12:00-17:59,5
YTD,ALL,Crime Type,HEALTH AND SAFETY,Thursday,18:00-23:59,5
YTD,ALL,Crime Type,HEALTH AND SAFETY,Tuesday,00:00-05:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Tuesday,06:00-11:59,2
YTD,ALL,Crime Type,HEALTH AND SAFETY,Tuesday,12:00-17:59,12
YTD,ALL,Crime Type,HEALTH AND SAFETY,Tuesday,18:00-23:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Wednesday,06:00-11:59,1
YTD,ALL,Crime Type,HEALTH AND SAFETY,Wednesday,12:00-17:59,21
YTD,ALL,Crime Type,HOMICIDE,Friday,00:00-05:59,5
YTD,ALL,Crime Type,HOMICIDE,Friday,06:00-11:59,5
YTD,ALL,Crime Type,HOMICIDE,Friday,12:00-17:59,13
YTD,ALL,Crime Type,HOMICIDE,Friday,18:00-23:59,12
YTD,ALL,Crime Type,HOMICIDE,Monday,00:00-05:59,10
YTD,ALL,Crime Type,HOMICIDE,Monday,06:00-11:59,6
YTD,ALL,Crime Type,HOMICIDE,Monday,12:00-17:59,9
YTD,ALL,Crime Type,HOMICIDE,Monday,18:00-23:59,10
YTD,ALL,Crime Type,HOMICIDE,Saturday,00:00-05:59,14
