focus_rank,h3_cell,incident_count,latitude,longitude,mean_spike_z,neighborhood,police_precinct,nearest_intersection,dominant_offense,dominant_offense_count,dominant_offense_share,score
55,892ab2c5c6bffff,262,42.336452096627866,-83.04782188531279,0.8348201990128074,Downtown,03,Randolph St & E Grand River Ave,LARCENY,76,0.2900763358778626,0.25261931653621844
56,892ab2d5b6fffff,282,42.43484657320927,-82.9900722172788,0.6438967777516783,Pulaski,09,E 7 Mile Rd & Alcoy St,FRAUD,88,0.3120567375886525,0.2520941294651103
57,892ab2c4027ffff,263,42.357548583890576,-82.98620892975782,0.7909257456259666,Gold Coast,07,E Jefferson Ave & Holcomb St,LARCENY,62,0.23574144486692014,0.24992112198624067
58,892ab2c60a7ffff,321,42.4060828560497,-82.92926197581735,0.23213096326845856,Cornerstone Village,05,Guilford St & E Warren Ave,FRAUD,125,0.3894080996884735,0.24800004152076982
59,892ab2c5c4bffff,157,42.3445795427108,-83.0517317773188,1.7418872408042672,Brush Park,03,Edmund Pl & John R St,LARCENY,66,0.42038216560509556,0.2479646949650775
60,892ab2c502bffff,183,42.3690367401692,-83.076047698697,1.5003701031920782,New Center,03,W Grand Blvd & 2nd Ave,LARCENY,42,0.22950819672131148,0.24780184301849767
61,892ab2ce60bffff,306,42.4039102932929,-83.1792037507307,0.36155251108694964,Bethune Community,02,Schaefer Hwy & Keeler Ave,FRAUD,161,0.5261437908496732,0.24732269141451654
62,892ab2c5c33ffff,295,42.338822947403,-83.0306775688815,0.44834012644075266,Lafayette Park,07,E Lafayette St & Orleans St,FRAUD,131,0.4440677966101695,0.24619419916646204
63,892ab2c5ed7ffff,285,42.3487242716004,-83.06514499910125,0.5242578110677105,Midtown,03,2nd Ave & W Willis St,LARCENY,103,0.36140350877192984,0.24493647298219506
64,892ab2c0a77ffff,36,42.422642003395,-83.1369365274248,2.8076297675661044,University District,12,Birchcrest Dr & Santa Clara St,DAMAGE TO PROPERTY,8,0.2222222222222222,0.24419203961798133
65,892ab2ce243ffff,274,42.3870329748074,-83.19816374614122,0.590808042420022,Schoolcraft Southfield,02,Schoolcraft St & Winthrop St,ASSAULT,51,0.18613138686131386,0.2422337250526663
66,892ab2cf523ffff,238,42.393900927103,-83.20141980032554,0.9053214214416796,Greenfield-Grand River,08,Grand River Ave & Forrer St,LARCENY,45,0.18907563025210083,0.24091159325130898
67,892ab2c1ba3ffff,297,42.4201758426176,-83.182342101538,0.3605604969089861,Winship,12,Lesure St & W Outer Dr,ASSAULT,95,0.31986531986531985,0.24079853173837823
68,892ab2cf603ffff,237,42.4146741898092,-83.2574690995407,0.9084436344747956,Oak Grove District 1,08,Lahser Rd & W McNichols Rd,ASSAULT,40,0.16877637130801687,0.24043813621733917
69,892ab2d5b27ffff,266,42.43431561250964,-82.9752495195491,0.6397228564981432,Mapleridge,09,Chalmers St & E 7 Mile Rd,SEX OFFENSES,101,0.37969924812030076,0.24030812422832704
70,892ab2ce237ffff,253,42.3772005666575,-83.17814312517497,0.7503991652704465,Pride Area Community,02,Schaefer Hwy & Capitol St,ASSAULT,73,0.2885375494071146,0.2396052563848308
71,892ab2c6467ffff,227,42.4222644390237,-82.9363165543563,0.9859435654859129,Moross-Morang,09,Casino St & Marne St,AGGRAVATED ASSAULT,40,0.1762114537444934,0.23930349216461505
72,892ab2c7473ffff,271,42.4389543556089,-83.0162962821407,0.5804597347959799,Nortown,11,E Lantz St & E Outer Dr,ASSAULT,81,0.2988929889298893,0.23927973839614894
73,892ab2c4393ffff,135,42.3560385101275,-82.99742675340748,1.83277163405024,West Village,07,Saint Paul St & Van Dyke St,LARCENY,52,0.3851851851851852,0.23927523279941157
74,892ab2cec8fffff,250,42.3568081616441,-83.1105133991049,0.7696847755592745,Petoskey-Otsego,10,W I 96 Service Drive & W Grand Blvd,ASSAULT,43,0.172,0.23895647694458413
75,892ab2c516bffff,265,42.3537430068987,-83.0671815821931,0.6132027506158867,Midtown,03,W Hancock St & Cass Ave,LARCENY,73,0.27547169811320754,0.23752880646842742
76,892ab2c1923ffff,301,42.4169437403662,-83.1603122492298,0.2692977499811811,Schulze,12,W McNichols Rd & Wyoming St,FRAUD,123,0.40863787375415284,0.23656457915792162
77,892ab2c53d7ffff,114,42.36541934455076,-83.0865316698795,1.974341150669324,Elijah McCoy,10,W Grand Blvd & Poe St,LARCENY,25,0.21929824561403508,0.23524487266196273
78,892ab2c4387ffff,257,42.3501838026402,-82.9967383380492,0.6524945126920703,Gold Coast,07,E Jefferson Ave & Seyburn St,LARCENY,54,0.21011673151750973,0.23485463338365883
79,892ab2c7297ffff,278,42.4247328641699,-83.0434007714722,0.45817781496870913,Davison,11,Iowa St & Minnesota St,OBSTRUCTING THE POLICE,76,0.2733812949640288,0.23478181746193705
80,892ab2cf527ffff,235,42.3917568190582,-83.1983573043622,0.8527198878975546,Greenfield-Grand River,08,Greenfield Rd & Grand River Ave,ASSAULT,34,0.14468085106382977,0.2346707499061798
81,892ab2c5073ffff,188,42.37400944558898,-83.0825434902777,1.2520385384342572,New Center Commons,03,Seward St & 3rd St,ASSAULT,43,0.22872340425531915,0.23206592035023765
82,892ab2cf353ffff,272,42.3835518887983,-83.25762648595872,0.4694737165038538,Brightmoor,06,Dolphin St & W Outer Dr,ASSAULT,78,0.2867647058823529,0.23136252555688216
83,892ab2c0b97ffff,215,42.4178366590139,-83.1018164731388,0.9778757399927925,Greenfield Park,11,John R St & W McNichols Rd,DANGEROUS DRUGS,35,0.16279069767441862,0.23007991163485597
84,892ab2c602bffff,263,42.4020059146694,-82.9430042070178,0.52970788395237,Morningside,05,Frankfort St & Devonshire Rd,ASSAULT,55,0.20912547528517111,0.22960111902479452
85,892ab2c1d63ffff,79,42.4386930636633,-83.1612133175324,2.2234070150790406,McDowell,12,Pembroke Ave & Kentucky St,ASSAULT,16,0.20253164556962025,0.22954794477535617
86,892ab2c535bffff,243,42.3603122330898,-83.0999457306279,0.6926085052548759,NW Goldberg,03,Linwood St & W Grand Blvd,FRAUD,109,0.448559670781893,0.22794642691574635
87,892ab2c5eb3ffff,210,42.3417289137252,-83.0540944066401,0.989103283131861,Midtown,03,Adelaide St & Woodward Ave,ASSAULT,62,0.29523809523809524,0.22737163454359077
88,892ab2ce043ffff,141,42.3882851096804,-83.1687093263633,1.591054491199092,Northwest Community,02,Schoolcraft St & Meyers Rd,SEX OFFENSES,47,0.3333333333333333,0.22477017498380364
89,892ab2ce67bffff,285,42.4018616195345,-83.1877625171532,0.26439869988047005,Bethune Community,02,Fenkell St & Strathmoor St,FRAUD,62,0.21754385964912282,0.22472216652147722
90,892ab2ce987ffff,262,42.3197428918377,-83.0971541555232,0.45208577134374256,Central Southwest,04,W Vernor Hwy & McKinstry St,FRAUD,120,0.4580152671755725,0.2228466024734998
91,892ab2ce5abffff,228,42.3886209069811,-83.1190511153516,0.7473136629033343,Dexter-Linwood,10,Fullerton St & Linwood St,FRAUD,41,0.17982456140350878,0.22145692728879626
92,892ab2c62abffff,279,42.4049770873512,-82.9649772993091,0.2729936801720165,Outer Drive-Hayes,09,Lakewood St & Harper Ave,WEAPONS OFFENSES,51,0.1827956989247312,0.22109277134355684
93,892ab2c58c7ffff,241,42.3284015530859,-83.04808771225976,0.6166122101485801,Downtown,03,W Jefferson Ave & N M 10,LARCENY,75,0.3112033195020747,0.22060204949261936
94,892ab2c198bffff,268,42.4313393134991,-83.1620305168192,0.36782683957221757,Schulze,12,Washburn St & W 7 Mile Rd,FRAUD,164,0.6119402985074627,0.22059013782431142
95,892ab2c5393ffff,200,42.3662561726895,-83.0777997416561,0.9862906717268278,New Center,03,W Baltimore St & 3rd St,FRAUD,96,0.48,0.2199895191683403
96,892ab2ce2bbffff,243,42.385263484679,-83.17997112431905,0.5868415901518871,Grand River-I96,02,Grand River Ave & Lesure St,ASSAULT,56,0.23045267489711935,0.21971887304808146
97,892ab2c511bffff,156,42.362928675581,-83.0590853182331,1.386097737003533,Cultural Center,03,Saint Antoine St & E Kirby St,LARCENY,39,0.25,0.21957168027821417
