period,precinct_norm,selection_type,selection_name,total_incidents,peak_day,peak_day_count,peak_hour,peak_hour_count,peak_shift,peak_shift_count,peak_time_block,peak_time_block_count,period_start,period_end,neighborhood_scope
YTD,02,Crime Type,DISORDERLY CONDUCT,12,Thursday,3,15,2,Evening Shift (14:00-21:59),5,12:00-17:59,4,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,EXTORTION,6,Saturday,2,12,2,Day Shift (06:00-13:59),3,12:00-17:59,3,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,FAMILY OFFENSE,76,Saturday,15,0,7,Evening Shift (14:00-21:59),37,12:00-17:59,29,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,FORGERY,8,Monday,2,18,2,Evening Shift (14:00-21:59),3,06:00-11:59,3,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,FRAUD,488,Thursday,83,12,50,Day Shift (06:00-13:59),236,12:00-17:59,194,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,HEALTH AND SAFETY,10,Saturday,5,13,3,Evening Shift (14:00-21:59),5,12:00-17:59,7,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,HOMICIDE,23,Sunday,6,1,4,Night Shift (22:00-05:59),15,00:00-05:59,12,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,INVASION OF PRIVACY -OTHER,28,Wednesday,8,18,4,Evening Shift (14:00-21:59),12,06:00-11:59,10,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,KIDNAPPING,10,Sunday,3,8,2,Evening Shift (14:00-21:59),5,18:00-23:59,4,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,LARCENY,635,Saturday,102,15,46,Evening Shift (14:00-21:59),278,12:00-17:59,224,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,LIQUOR,3,Saturday,2,3,2,Night Shift (22:00-05:59),3,00:00-05:59,2,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,MISCELLANEOUS,7,Monday,2,14,2,Day Shift (06:00-13:59),3,12:00-17:59,3,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,OBSTRUCTING JUDICIARY,77,Monday,14,16,12,Evening Shift (14:00-21:59),34,12:00-17:59,29,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,OBSTRUCTING THE POLICE,139,Monday,28,22,18,Night Shift (22:00-05:59),62,18:00-23:59,69,2026-01-01,2026-09-15,ALL
YTD,02,Crime Type,OUIL,32,Saturday,10,21,8,Evening Shift (14:00-21:59),18,12:00-17:59,12,2026-01-01,2026-09-15,ALL
